ProbeID	ESJ1	isp2	ESJ1	isp2
1416109_at	1491.6	943.9	P	P
1416110_at	988	872.5	P	P
1416111_at	6.1	29.3	A	A
1416112_at	4972	5297.9	P	P
1416113_at	2021.8	1842.9	P	P
1416114_at	4.6	4.1	A	A
1416115_at	1745.9	1837.8	P	P
1416116_at	218.9	179.8	P	P
1416117_at	48.6	76.5	A	P
1416118_at	3892.6	4377.7	P	P
1416119_at	15552.7	15363.8	P	P
1416120_at	5452.6	6604.1	P	P
1416121_at	719.5	1846	P	P
1416122_at	1191.4	622.9	P	P
1416123_at	49.4	64	A	P
1416124_at	72.7	86.2	P	P
1416125_at	2665.3	4312.7	P	P
1416126_at	2608.2	2194.1	P	P
1416127_a_at	3046.6	3519	P	P
1416128_at	562.8	283.6	P	P
1416129_at	1336.5	1157.9	P	P
1416130_at	536.3	366.8	P	P
1416131_s_at	1514.5	1658.3	P	P
1416132_at	785.4	949.6	P	P
1416133_at	1856.8	2222.3	P	P
1416134_at	466.9	1211	P	P
1416135_at	8208.4	7558.6	P	P
1416136_at	397.3	308.9	P	P
1416137_at	366.4	561.5	P	P
1416138_at	4195.3	3464.1	P	P
1416139_at	50.2	202.8	A	P
1416140_a_at	2713.5	3427.4	P	P
1416141_a_at	27507.6	27225.5	P	P
1416142_at	1074.4	1992.2	P	P
1416143_at	8667.4	8420.3	P	P
1416144_a_at	13916.4	8756.8	P	P
1416145_at	11490.5	10261	P	P
1416146_at	11938.8	12265.2	P	P
1416147_at	358.9	1550.5	A	P
1416148_at	3358.8	2150.9	P	P
1416149_at	7.8	2206.1	A	P
1416150_a_at	12968.2	10492.2	P	P
1416151_at	1958.9	1898.2	P	P
1416152_a_at	4802.4	3948	P	P
1416153_at	5111.4	4867.9	P	P
1416154_at	62.2	25.2	A	A
1416155_at	1953.5	1117	P	P
1416156_at	2898.6	1384.6	P	P
1416157_at	356	302.3	P	P
1416158_at	63.3	21.9	P	P
1416159_at	39.8	57.4	A	A
1416160_at	4.9	3.7	A	A
1416161_at	5435.3	6954.1	P	P
1416162_at	1560.5	3053.4	P	P
1416163_at	2802.8	2335.5	P	P
1416164_at	143.5	91.7	A	A
1416165_at	738.9	369.8	P	P
1416166_a_at	1107.2	664.8	P	P
1416167_at	4971.3	4095	P	P
1416168_at	793.6	538.6	P	P
1416169_at	9.7	2.6	A	A
1416170_at	2678.7	3212.1	P	P
1416171_at	3221	3182	P	P
1416172_at	3922.9	4864.3	P	P
1416173_at	256.5	177.4	P	P
1416174_at	726.4	724.3	P	P
1416175_a_at	10266.3	6567.8	P	P
1416176_at	6485.4	5551.4	P	P
1416177_at	10922.6	5290.2	P	P
1416178_a_at	396.8	321.8	P	P
1416179_a_at	4887.6	3438.8	P	P
1416180_a_at	942.1	1407.4	P	P
1416181_at	4919.8	5117.7	P	P
1416182_at	607.2	826.1	P	P
1416183_a_at	4361.4	5533.1	P	P
1416184_s_at	8621.7	15327.4	P	P
1416185_a_at	13291.6	10907.4	P	P
1416186_at	2103.9	2119.5	P	P
1416187_s_at	1928.6	2452.1	P	P
1416188_at	276.3	350.2	P	P
1416189_a_at	4018.5	3610.5	P	P
1416190_a_at	427.9	1141.9	P	P
1416191_at	1222.1	1942.5	P	P
1416192_at	223.9	284.1	P	P
1416193_at	13.2	1.8	A	A
1416194_at	3.5	18.4	A	A
1416195_at	305.5	372.1	P	P
1416196_at	102.1	51.6	A	P
1416197_at	5369.2	5548.9	P	P
1416198_at	1180	1708.3	P	P
1416199_at	291.4	409.9	P	P
1416200_at	69.4	62.2	P	P
1416201_at	1648.2	2062.6	P	P
1416202_at	6742	6620.1	P	P
1416203_at	41.6	22.7	A	A
1416204_at	76	31.5	A	A
1416205_at	948.8	1396.9	P	P
1416206_at	130.9	276.5	P	P
1416207_at	684.5	705.1	P	P
1416208_at	6344.3	5948.4	P	P
1416209_at	5742.8	9106.4	P	P
1416210_at	3787.2	2541.6	P	P
1416211_a_at	116.9	11.3	A	A
1416212_at	10015.9	6888.1	P	P
1416213_x_at	1056.6	832.8	P	P
1416214_at	6208.3	7042.5	P	P
1416215_at	264.9	708.3	P	P
1416216_at	1184.5	1565	P	P
1416217_a_at	21082.9	19259.9	P	P
1416218_x_at	2681.4	1995.4	P	P
1416219_at	22826.3	21950.7	P	P
1416220_at	3897.3	3756.8	P	P
1416221_at	1933.1	2572.5	P	P
1416222_at	2135	1250.5	P	P
1416223_at	467.5	544.1	P	P
1416224_at	309.3	362.2	P	P
1416225_at	96.5	48.1	A	A
1416226_at	953.4	1460.4	P	P
1416227_at	11.5	62.2	A	A
1416228_at	4834.1	3413.6	P	P
1416229_at	1406.1	954.3	P	P
1416230_at	1159.4	784.4	P	P
1416231_at	473.1	472.8	P	P
1416232_at	6	985.2	A	P
1416233_at	11898.8	10591.3	P	P
1416234_at	4661.2	3530.3	P	P
1416235_at	3160	3143.8	P	P
1416236_a_at	1102.2	2599.3	P	P
1416237_at	591	1211	P	P
1416238_at	3.6	3.1	A	A
1416239_at	1610.7	4839	P	P
1416240_at	17110.2	16955.6	P	P
1416241_at	4010	2948.1	P	P
1416242_at	1627.9	4604.2	P	P
1416243_a_at	21147.1	20257.8	P	P
1416244_a_at	18014.1	16188.1	P	P
1416245_at	3763.2	3527.8	P	P
1416246_a_at	414.2	272.1	P	P
1416247_at	3573	2775.8	P	P
1416248_at	1640.1	1898.2	P	P
1416249_at	1386.7	1479.5	P	P
1416250_at	1567.6	509.6	P	P
1416251_at	7854.3	12143.3	P	P
1416252_at	2795.9	4391.3	P	P
1416253_at	755.4	682.4	P	P
1416254_a_at	679.4	884.4	P	P
1416255_at	29.1	38.5	A	A
1416256_a_at	18578.7	16504.1	P	P
1416257_at	1006.9	402.4	P	P
1416258_at	1649.3	1682.2	P	P
1416259_at	565.6	726.8	P	P
1416260_a_at	962.3	546.7	P	P
1416261_at	530	582	P	P
1416262_at	416	569.3	P	P
1416263_at	46.5	63.2	A	A
1416264_at	71.5	22.9	A	A
1416265_at	177.1	375.8	P	P
1416266_at	17	30.4	A	A
1416267_at	1576.6	825.6	P	P
1416268_at	651.6	789.7	P	P
1416269_at	10791.3	7939.7	P	P
1416270_at	6153.1	4670.3	P	P
1416271_at	955.3	813.1	P	P
1416272_at	2815.4	2611.7	P	P
1416273_at	219.8	94.7	P	P
1416274_at	191.2	215.6	P	P
1416275_at	108.5	279.1	P	P
1416276_a_at	28719.4	29731.4	P	P
1416277_a_at	25137.8	26234.1	P	P
1416278_a_at	10391.5	8585.4	P	P
1416279_at	932.3	1447.2	P	P
1416280_at	11709.9	13331.6	P	P
1416281_at	2699.7	2400.8	P	P
1416282_at	5719.7	4733.7	P	P
1416283_at	6070.7	6883.1	P	P
1416284_at	3155.7	2840.6	P	P
1416285_at	4976.7	4179.2	P	P
1416286_at	20.1	8	A	A
1416287_at	17.5	48.2	A	A
1416288_at	10745.5	6888.2	P	P
1416289_at	267	436.7	P	P
1416290_a_at	7060	6439.9	P	P
1416291_at	5074.8	3885.5	P	P
1416292_at	1977.3	1573	P	P
1416293_at	74	40.9	A	A
1416294_at	1206.3	1704.4	P	P
